,values
411,7456.054688
412,7470.703125
413,7470.703125
414,7480.46875
415,7475.585938
416,7480.46875
417,7465.820312
418,7480.46875
419,7480.46875
420,7480.46875
421,7485.351562
422,7495.117188
423,7485.351562
424,7485.351562
425,7485.351562
426,7475.585938
427,7485.351562
428,7500.0
429,7495.117188
430,7500.0
431,7500.0
432,7485.351562
433,7485.351562
434,7485.351562
435,7490.234375
436,7485.351562
437,7495.117188
438,7495.117188
439,7495.117188
440,7495.117188
441,7500.0
442,7500.0
443,7495.117188
444,7500.0
445,7504.882812
446,7495.117188
447,7500.0
448,7495.117188
449,7495.117188
450,7500.0
451,7500.0
452,7500.0
453,7504.882812
454,7500.0
455,7509.765625
456,7509.765625
457,7500.0
458,7514.648438
459,7524.414062
460,7514.648438
461,7519.53125
462,7519.53125
463,7514.648438
464,7509.765625
465,7509.765625
466,7514.648438
467,7524.414062
468,7514.648438
469,7514.648438
470,7504.882812
471,7519.53125
472,7514.648438
473,7500.0
474,7509.765625
475,7504.882812
476,7500.0
477,7514.648438
478,7509.765625
479,7504.882812
480,7509.765625
481,7504.882812
482,7514.648438
483,7514.648438
484,7509.765625
485,7504.882812
486,7500.0
487,7509.765625
488,7495.117188
489,7480.46875
490,7480.46875
491,7456.054688
492,7441.40625
493,7451.171875
494,7436.523438
495,7441.40625
496,7480.46875
497,7514.648438
498,7553.710938
499,7592.773438
500,7607.421875
501,7597.65625
502,7587.890625
503,7573.242188
504,7548.828125
505,7543.945312
506,7539.0625
507,7539.0625
508,7539.0625
509,7534.179688
510,7524.414062
511,7524.414062
512,7504.882812
513,7504.882812
514,7504.882812
515,7490.234375
516,7495.117188
517,7490.234375
518,7480.46875
519,7490.234375
520,7485.351562
521,7475.585938
522,7475.585938
523,7470.703125
524,7456.054688
525,7456.054688
526,7451.171875
527,7456.054688
528,7451.171875
529,7451.171875
530,7441.40625
531,7441.40625
532,7441.40625
533,7441.40625
534,7426.757812
535,7431.640625
536,7431.640625
537,7426.757812
538,7431.640625
539,7421.875
540,7426.757812
541,7416.992188
542,7421.875
543,7421.875
544,7421.875
545,7416.992188
546,7421.875
547,7416.992188
548,7412.109375
549,7421.875
550,7421.875
551,7416.992188
552,7421.875
553,7416.992188
554,7407.226562
555,7412.109375
556,7412.109375
557,7402.34375
558,7416.992188
559,7402.34375
560,7397.460938
561,7397.460938
562,7397.460938
563,7392.578125
564,7397.460938
565,7402.34375
566,7392.578125
567,7392.578125
568,7397.460938
569,7382.8125
570,7382.8125
571,7387.695312
572,7387.695312
573,7382.8125
574,7377.929688
575,7377.929688
576,7382.8125
577,7373.046875
578,7377.929688
579,7373.046875
580,7377.929688
581,7373.046875
582,7368.164062
583,7377.929688
584,7377.929688
585,7368.164062
586,7368.164062
587,7368.164062
588,7348.632812
589,7363.28125
590,7353.515625
591,7353.515625
592,7353.515625
593,7358.398438
594,7353.515625
595,7353.515625
596,7348.632812
597,7358.398438
598,7338.867188
599,7333.984375
600,7358.398438
601,7348.632812
602,7333.984375
603,7353.515625
604,7353.515625
605,7333.984375
606,7338.867188
607,7333.984375
608,7329.101562
609,7329.101562
610,7338.867188
611,7319.335938
612,7324.21875
613,7329.101562
614,7319.335938
615,7324.21875
