,values
656,-1074.21875
657,-1054.6875
658,-1040.039062
659,-1049.804688
660,-1044.921875
661,-1044.921875
662,-1108.398438
663,-1035.15625
664,-1010.742188
665,-1049.804688
666,-1083.984375
667,-1020.507812
668,-1059.570312
669,-1040.039062
670,-1093.75
671,-1069.335938
672,-1010.742188
673,-1049.804688
674,-1020.507812
675,-1015.625
676,-1059.570312
677,-1020.507812
678,-1015.625
679,-1074.21875
680,-976.5625
681,-1059.570312
682,-1000.976562
683,-981.445312
684,-1035.15625
685,-986.328125
686,-1000.976562
687,-1005.859375
688,-981.445312
689,-1020.507812
690,-1030.273438
691,-1025.390625
692,-1015.625
693,-1000.976562
694,-1000.976562
695,-1000.976562
696,-986.328125
697,-1010.742188
698,-1020.507812
699,-1020.507812
700,-1005.859375
701,-1025.390625
702,-957.03125
703,-966.796875
704,-1030.273438
705,-981.445312
706,-991.210938
707,-1015.625
708,-991.210938
709,-1035.15625
710,-976.5625
711,-942.382812
712,-1059.570312
713,-966.796875
714,-986.328125
715,-986.328125
716,-981.445312
717,-1020.507812
718,-952.148438
719,-961.914062
720,-1049.804688
721,-981.445312
722,-1010.742188
723,-1000.976562
724,-952.148438
725,-942.382812
726,-932.617188
727,-981.445312
728,-986.328125
729,-981.445312
730,-913.085938
731,-957.03125
732,-947.265625
733,-961.914062
734,-947.265625
735,-908.203125
736,-922.851562
737,-913.085938
738,-932.617188
739,-942.382812
740,-961.914062
741,-913.085938
742,-932.617188
743,-893.554688
744,-942.382812
745,-898.4375
746,-932.617188
747,-898.4375
748,-932.617188
749,-888.671875
750,-917.96875
751,-786.132812
752,-942.382812
753,-922.851562
754,-874.023438
755,-888.671875
756,-791.015625
757,-903.320312
758,-893.554688
759,-839.84375
760,-942.382812
761,-893.554688
762,-834.960938
763,-844.726562
764,-825.195312
765,-913.085938
766,-888.671875
767,-771.484375
768,-942.382812
769,-859.375
770,-766.601562
771,-888.671875
772,-869.140625
773,-825.195312
774,-913.085938
775,-820.3125
776,-888.671875
777,-859.375
778,-791.015625
779,-830.078125
780,-810.546875
781,-908.203125
782,-937.5
783,-834.960938
784,-878.90625
785,-849.609375
786,-830.078125
787,-844.726562
788,-878.90625
789,-830.078125
790,-825.195312
791,-839.84375
792,-869.140625
793,-781.25
794,-795.898438
795,-795.898438
796,-786.132812
797,-888.671875
798,-844.726562
799,-898.4375
800,-795.898438
801,-776.367188
802,-864.257812
803,-776.367188
804,-786.132812
805,-844.726562
806,-839.84375
807,-864.257812
808,-673.828125
809,-737.304688
810,-830.078125
811,-688.476562
812,-839.84375
813,-786.132812
814,-712.890625
815,-781.25
816,-673.828125
817,-766.601562
818,-800.78125
819,-678.710938
820,-815.429688
821,-673.828125
822,-708.007812
823,-815.429688
824,-717.773438
825,-712.890625
826,-791.015625
827,-673.828125
828,-834.960938
829,-673.828125
830,-688.476562
831,-864.257812
832,-800.78125
833,-751.953125
834,-747.070312
835,-727.539062
836,-815.429688
837,-673.828125
838,-698.242188
839,-776.367188
840,-673.828125
841,-673.828125
842,-683.59375
843,-673.828125
844,-673.828125
845,-751.953125
846,-673.828125
847,-673.828125
848,-673.828125
849,-673.828125
850,-668.945312
851,-668.945312
852,-673.828125
853,-737.304688
854,-673.828125
855,-673.828125
856,-673.828125
857,-673.828125
858,-703.125
859,-673.828125
860,-673.828125
861,-693.359375
862,-673.828125
863,-673.828125
864,-673.828125
865,-668.945312
866,-673.828125
867,-673.828125
868,-693.359375
869,-673.828125
870,-673.828125
871,-673.828125
872,-668.945312
873,-673.828125
874,-698.242188
875,-673.828125
876,-673.828125
877,-673.828125
878,-698.242188
879,-673.828125
880,-673.828125
881,-747.070312
882,-673.828125
883,-673.828125
884,-673.828125
885,-673.828125
886,-673.828125
887,-673.828125
888,-708.007812
889,-673.828125
890,-673.828125
891,-756.835938
892,-673.828125
893,-673.828125
894,-673.828125
895,-673.828125
896,-673.828125
897,-673.828125
898,-673.828125
899,-717.773438
900,-673.828125
901,-673.828125
902,-732.421875
903,-673.828125
904,-673.828125
905,-673.828125
906,-673.828125
907,-673.828125
908,-668.945312
909,-673.828125
910,-673.828125
911,-673.828125
912,-712.890625
913,-673.828125
914,-673.828125
915,-673.828125
916,-703.125
917,-708.007812
918,-673.828125
919,-673.828125
920,-683.59375
921,-673.828125
922,-693.359375
923,-815.429688
924,-673.828125
925,-722.65625
926,-766.601562
927,-673.828125
928,-737.304688
929,-673.828125
930,-747.070312
931,-693.359375
932,-693.359375
933,-795.898438
934,-678.710938
935,-683.59375
936,-708.007812
937,-791.015625
938,-722.65625
939,-688.476562
940,-898.4375
941,-673.828125
942,-698.242188
943,-893.554688
944,-673.828125
945,-673.828125
946,-825.195312
947,-708.007812
948,-761.71875
949,-776.367188
950,-688.476562
951,-771.484375
952,-732.421875
953,-727.539062
954,-795.898438
955,-791.015625
956,-839.84375
957,-776.367188
958,-766.601562
959,-737.304688
960,-825.195312
961,-810.546875
962,-864.257812
963,-888.671875
964,-786.132812
965,-781.25
966,-761.71875
967,-825.195312
968,-776.367188
969,-917.96875
970,-766.601562
971,-786.132812
972,-771.484375
973,-844.726562
974,-834.960938
975,-673.828125
976,-830.078125
977,-903.320312
978,-756.835938
979,-820.3125
980,-859.375
981,-903.320312
982,-932.617188
983,-820.3125
984,-908.203125
985,-874.023438
986,-786.132812
987,-947.265625
988,-922.851562
989,-849.609375
990,-903.320312
991,-903.320312
992,-834.960938
993,-937.5
994,-961.914062
995,-1005.859375
996,-830.078125
997,-888.671875
998,-957.03125
999,-874.023438
1000,-957.03125
1001,-1025.390625
1002,-996.09375
1003,-883.789062
1004,-961.914062
1005,-908.203125
1006,-961.914062
1007,-1040.039062
1008,-1069.335938
1009,-976.5625
1010,-1010.742188
1011,-1015.625
1012,-986.328125
1013,-1064.453125
1014,-1103.515625
1015,-1108.398438
1016,-976.5625
1017,-1093.75
1018,-1035.15625
1019,-1035.15625
1020,-1166.992188
1021,-1250.0
1022,-1010.742188
1023,-1137.695312
1024,-1113.28125
1025,-1064.453125
1026,-1206.054688
1027,-1313.476562
1028,-1206.054688
1029,-1181.640625
1030,-1196.289062
1031,-1235.351562
1032,-1196.289062
1033,-1206.054688
1034,-1362.304688
1035,-1308.59375
1036,-1328.125
1037,-1367.1875
1038,-1323.242188
1039,-1352.539062
1040,-1406.25
1041,-1464.84375
1042,-1455.078125
1043,-1494.140625
1044,-1494.140625
1045,-1577.148438
1046,-1425.78125
1047,-1542.96875
1048,-1542.96875
1049,-1582.03125
1050,-1684.570312
1051,-1655.273438
1052,-1611.328125
1053,-1723.632812
1054,-1669.921875
1055,-1704.101562
1056,-1733.398438
1057,-1650.390625
1058,-1850.585938
1059,-1694.335938
1060,-1767.578125
1061,-1865.234375
1062,-1855.46875
1063,-1806.640625
1064,-1870.117188
1065,-1875.0
1066,-1855.46875
1067,-1943.359375
1068,-1928.710938
1069,-1909.179688
1070,-1962.890625
1071,-1928.710938
1072,-1982.421875
1073,-2099.609375
1074,-2036.132812
1075,-2202.148438
1076,-2065.429688
1077,-2153.320312
1078,-2158.203125
1079,-2114.257812
1080,-2280.273438
1081,-2304.6875
1082,-2197.265625
1083,-2324.21875
1084,-2377.929688
1085,-2343.75
1086,-2402.34375
1087,-2377.929688
1088,-2500.0
1089,-2460.9375
1090,-2539.0625
1091,-2495.117188
1092,-2573.242188
1093,-2626.953125
1094,-2636.71875
1095,-2578.125
1096,-2656.25
1097,-2744.140625
1098,-2797.851562
1099,-2827.148438
1100,-2768.554688
1101,-2822.265625
1102,-2763.671875
1103,-2963.867188
1104,-2939.453125
1105,-3110.351562
1106,-2929.6875
1107,-3105.46875
1108,-3066.40625
1109,-3134.765625
1110,-3295.898438
1111,-3208.007812
1112,-3388.671875
1113,-3310.546875
1114,-3334.960938
1115,-3515.625
1116,-3393.554688
1117,-3496.09375
1118,-3613.28125
1119,-3583.984375
1120,-3750.0
1121,-3730.46875
1122,-3686.523438
1123,-3906.25
1124,-3754.882812
1125,-3940.429688
1126,-3901.367188
1127,-3876.953125
1128,-3994.140625
1129,-4033.203125
1130,-4072.265625
1131,-4096.679688
1132,-4125.976562
1133,-4243.164062
1134,-4355.46875
1135,-4316.40625
1136,-4404.296875
1137,-4501.953125
1138,-4511.71875
1139,-4594.726562
1140,-4614.257812
1141,-4663.085938
1142,-4619.140625
1143,-4702.148438
1144,-4853.515625
1145,-4838.867188
1146,-4780.273438
1147,-4741.210938
1148,-4936.523438
1149,-5073.242188
1150,-5043.945312
1151,-4975.585938
1152,-5092.773438
1153,-5175.78125
1154,-5200.195312
1155,-5346.679688
1156,-5297.851562
1157,-5400.390625
1158,-5468.75
1159,-5400.390625
1160,-5522.460938
1161,-5585.9375
1162,-5595.703125
1163,-5693.359375
1164,-5678.710938
1165,-5673.828125
1166,-5717.773438
1167,-5834.960938
1168,-5888.671875
1169,-5922.851562
1170,-5913.085938
1171,-5996.09375
1172,-6015.625
1173,-6049.804688
1174,-6123.046875
1175,-6215.820312
1176,-6206.054688
1177,-6259.765625
1178,-6318.359375
1179,-6308.59375
1180,-6372.070312
1181,-6337.890625
1182,-6499.023438
1183,-6386.71875
1184,-6503.90625
1185,-6577.148438
1186,-6489.257812
1187,-6640.625
1188,-6606.445312
1189,-6660.15625
1190,-6738.28125
1191,-6787.109375
1192,-6845.703125
1193,-6850.585938
1194,-6870.117188
1195,-6967.773438
1196,-7011.71875
1197,-6972.65625
1198,-7109.375
1199,-7041.015625
1200,-7148.4375
1201,-7128.90625
1202,-7158.203125
1203,-7202.148438
1204,-7241.210938
1205,-7275.390625
1206,-7329.101562
1207,-7314.453125
1208,-7319.335938
1209,-7436.523438
1210,-7431.640625
1211,-7504.882812
1212,-7504.882812
1213,-7558.59375
1214,-7602.539062
1215,-7626.953125
1216,-7666.015625
1217,-7685.546875
1218,-7709.960938
1219,-7749.023438
1220,-7778.320312
1221,-7778.320312
1222,-7817.382812
1223,-7827.148438
1224,-7866.210938
1225,-7875.976562
1226,-7915.039062
1227,-7934.570312
1228,-7958.984375
1229,-7988.28125
1230,-8027.34375
1231,-8041.992188
1232,-8076.171875
1233,-8090.820312
1234,-8115.234375
1235,-8154.296875
1236,-8168.945312
1237,-8193.359375
1238,-8208.007812
1239,-8237.304688
1240,-8256.835938
1241,-8276.367188
1242,-8291.015625
1243,-8315.429688
1244,-8330.078125
1245,-8354.492188
1246,-8369.140625
1247,-8388.671875
1248,-8413.085938
1249,-8417.96875
1250,-8437.5
1251,-8461.914062
1252,-8476.5625
1253,-8491.210938
1254,-8520.507812
1255,-8500.976562
1256,-8549.804688
1257,-8549.804688
1258,-8579.101562
1259,-8574.21875
1260,-8603.515625
1261,-8623.046875
1262,-8647.460938
1263,-8652.34375
1264,-8676.757812
1265,-8691.40625
1266,-8720.703125
1267,-8735.351562
1268,-8750.0
1269,-8769.53125
1270,-8779.296875
1271,-8789.0625
1272,-8808.59375
1273,-8808.59375
1274,-8833.007812
1275,-8842.773438
1276,-8847.65625
1277,-8867.1875
1278,-8876.953125
1279,-8896.484375
1280,-8906.25
1281,-8920.898438
1282,-8935.546875
1283,-8955.078125
1284,-8955.078125
1285,-8974.609375
1286,-8979.492188
1287,-8999.023438
1288,-9008.789062
1289,-9018.554688
1290,-9028.320312
1291,-9038.085938
1292,-9042.96875
1293,-9062.5
1294,-9067.382812
1295,-9082.03125
1296,-9091.796875
1297,-9091.796875
1298,-9096.679688
1299,-9106.445312
1300,-9111.328125
1301,-9116.210938
1302,-9140.625
1303,-9116.210938
1304,-9160.15625
1305,-9155.273438
1306,-9184.570312
1307,-9179.6875
1308,-9199.21875
1309,-9194.335938
1310,-9218.75
1311,-9223.632812
1312,-9233.398438
1313,-9228.515625
1314,-9243.164062
1315,-9252.929688
1316,-9272.460938
1317,-9277.34375
1318,-9282.226562
1319,-9291.992188
1320,-9301.757812
1321,-9321.289062
1322,-9316.40625
1323,-9321.289062
1324,-9335.9375
1325,-9335.9375
1326,-9345.703125
1327,-9350.585938
1328,-9355.46875
1329,-9355.46875
1330,-9360.351562
1331,-9360.351562
1332,-9370.117188
1333,-9370.117188
1334,-9370.117188
1335,-9370.117188
1336,-9375.0
1337,-9384.765625
1338,-9384.765625
1339,-9384.765625
1340,-9389.648438
1341,-9389.648438
1342,-9394.53125
1343,-9409.179688
1344,-9360.351562
1345,-9418.945312
1346,-9384.765625
1347,-9399.414062
1348,-9384.765625
1349,-9399.414062
1350,-9394.53125
1351,-9414.0625
1352,-9394.53125
1353,-9384.765625
1354,-9389.648438
1355,-9399.414062
1356,-9394.53125
1357,-9399.414062
1358,-9384.765625
1359,-9389.648438
1360,-9394.53125
1361,-9399.414062
1362,-9394.53125
1363,-9389.648438
1364,-9389.648438
1365,-9394.53125
1366,-9394.53125
1367,-9384.765625
1368,-9379.882812
1369,-9384.765625
1370,-9389.648438
1371,-9384.765625
1372,-9384.765625
1373,-9375.0
1374,-9384.765625
1375,-9379.882812
1376,-9418.945312
1377,-9365.234375
1378,-9389.648438
1379,-9389.648438
1380,-9423.828125
1381,-9409.179688
1382,-9409.179688
1383,-9409.179688
1384,-9428.710938
1385,-9433.59375
1386,-9433.59375
1387,-9433.59375
1388,-9423.828125
1389,-9433.59375
1390,-9433.59375
1391,-9433.59375
1392,-9433.59375
1393,-9433.59375
1394,-9428.710938
1395,-9433.59375
1396,-9433.59375
1397,-9433.59375
1398,-9428.710938
1399,-9433.59375
1400,-9433.59375
1401,-9433.59375
1402,-9433.59375
